Malformed or incomplete keys detected in Eurostat JSON (GDP):
Key: 26 -- Dims: [26] -- IDs: ['unit', 'geo', 'time']
Key: 27 -- Dims: [27] -- IDs: ['unit', 'geo', 'time']
Key: 28 -- Dims: [28] -- IDs: ['unit', 'geo', 'time']
Key: 29 -- Dims: [29] -- IDs: ['unit', 'geo', 'time']
Key: 810 -- Dims: [810] -- IDs: ['unit', 'geo', 'time']
Key: 811 -- Dims: [811] -- IDs: ['unit', 'geo', 'time']
Key: 812 -- Dims: [812] -- IDs: ['unit', 'geo', 'time']
Key: 813 -- Dims: [813] -- IDs: ['unit', 'geo', 'time']
Key: 814 -- Dims: [814] -- IDs: ['unit', 'geo', 'time']
Key: 815 -- Dims: [815] -- IDs: ['unit', 'geo', 'time']
Key: 816 -- Dims: [816] -- IDs: ['unit', 'geo', 'time']
Key: 817 -- Dims: [817] -- IDs: ['unit', 'geo', 'time']
Key: 818 -- Dims: [818] -- IDs: ['unit', 'geo', 'time']
Key: 819 -- Dims: [819] -- IDs: ['unit', 'geo', 'time']
Key: 820 -- Dims: [820] -- IDs: ['unit', 'geo', 'time']
Key: 821 -- Dims: [821] -- IDs: ['unit', 'geo', 'time']
Key: 822 -- Dims: [822] -- IDs: ['unit', 'geo', 'time']
Key: 823 -- Dims: [823] -- IDs: ['unit', 'geo', 'time']
Key: 824 -- Dims: [824] -- IDs: ['unit', 'geo', 'time']
Key: 825 -- Dims: [825] -- IDs: ['unit', 'geo', 'time']
Key: 826 -- Dims: [826] -- IDs: ['unit', 'geo', 'time']
Key: 827 -- Dims: [827] -- IDs: ['unit', 'geo', 'time']
Key: 828 -- Dims: [828] -- IDs: ['unit', 'geo', 'time']
Key: 829 -- Dims: [829] -- IDs: ['unit', 'geo', 'time']
Key: 830 -- Dims: [830] -- IDs: ['unit', 'geo', 'time']
Key: 831 -- Dims: [831] -- IDs: ['unit', 'geo', 'time']
Key: 832 -- Dims: [832] -- IDs: ['unit', 'geo', 'time']
Key: 833 -- Dims: [833] -- IDs: ['unit', 'geo', 'time']
